ticker,volume,open,close,high,low,price,date

TRF, 13,3.478,3.628,3.728,3.38,3.628,2010-07-13
TRF, 20,3.588,3.968,4.03,3.552,3.968,2010-07-14
TRF, 13,4.14,4.128,4.26,4.01,4.128,2010-07-16
    TRF 6 4.132,   4.044   4.18,3.9,4.044,2010-07-21

 ' TRF',4,4.1000,4.2000,4.2500,4.0740,4.2000,2010-07-22
TRF,4,4.3000,4.1900,4.3000,4.0600,4.1900,2010-07-26
TRF,3,4.1820,4.1100,4.2360,4.0520,4.1100,2010-07-27
 TRF,3,4.1820,4.1100,4.2360,4.0520,4.1100,2010-08-18
TRF,3,4.1820,4.1100,4.2360,4.0520,4.1100,2010-09-18


AAL ,4,4.1000,4.2000,4.2500,4.0740,4.2000, 1900-00-00

 A,4,4.1000,4.2000,4.2500,4.0740,4.2000, 1920-00-00
