ticker,volume,open,close,high,low,price,date
GE,2,0.7512,0.7487,0.7637,0.7437,0.0018,1962-01-02
GE,1,0.7412,0.7324,0.7474,0.7262,0.0017,1962-01-04
GE,2,0.7124,0.7161,0.7224,0.7074,0.0017,1962-01-09
GE,1,0.7199,0.7212,0.7212,0.7074,0.0017,1962-01-11
GE,2,0.7124,0.7186,0.7212,0.7124,0.0017,1962-01-15
GE,1,0.7186,0.7249,0.7274,0.7136,0.0017,1962-01-16
GE,1,0.7086,0.7161,0.7161,0.7074,0.0017,1962-01-18
GE,2,0.7224,0.7111,0.7224,0.7086,0.0017,1962-01-23
GE,1,0.7249,0.7174,0.7299,0.7124,0.0017,1962-01-25
GE,1,0.7174,0.7149,0.7186,0.7124,0.0017,1962-01-26
GE,2,0.7512,0.7462,0.755,0.7387,0.0018,1962-02-01
GE,1,0.7487,0.7362,0.7487,0.7362,0.0017,1962-02-05
GE,1,0.7437,0.7512,0.7512,0.7412,0.0018,1962-02-07
GE,1,0.7512,0.7562,0.7562,0.7499,0.0018,1962-02-08
GE,1,0.7562,0.7525,0.7562,0.7424,0.0018,1962-02-09
GE,0,0.7525,0.7525,0.755,0.7487,0.0018,1962-02-12
GE,1,0.7612,0.7675,0.77,0.76,0.0018,1962-02-14
GE,1,0.7687,0.7787,0.7812,0.7687,0.0018,1962-02-15
GE,2,0.7787,0.7737,0.78,0.7675,0.0018,1962-02-16
GE,1,0.7675,0.7662,0.7675,0.7562,0.0018,1962-02-20
GE,1,0.7662,0.7637,0.77,0.7587,0.0018,1962-02-21
GE,1,0.7637,0.7562,0.765,0.755,0.0018,1962-02-23
GE,1,0.7512,0.7474,0.7537,0.7449,0.0018,1962-02-28
GE,0,0.7512,0.7612,0.7612,0.7512,0.0018,1962-03-01
GE,1,0.7675,0.7675,0.7737,0.7675,0.0018,1962-03-05
GE,0,0.7675,0.7562,0.7687,0.7537,0.0018,1962-03-06
GE,1,0.7612,0.7725,0.775,0.7587,0.0018,1962-03-08
GE,1,0.7812,0.7775,0.7825,0.7725,0.0019,1962-03-14
GE,1,0.7775,0.78,0.7863,0.7737,0.0019,1962-03-15
GE,0,0.7762,0.7762,0.7787,0.7737,0.0019,1962-03-20
GE,1,0.7762,0.775,0.7787,0.7737,0.0019,1962-03-21
GE,1,0.775,0.7712,0.7775,0.7712,0.0018,1962-03-22
GE,1,0.7725,0.7812,0.7812,0.7725,0.0019,1962-03-23
GE,1,0.78,0.7687,0.78,0.7687,0.0018,1962-03-26
GE,1,0.7662,0.7575,0.7662,0.7525,0.0018,1962-04-03
GE,1,0.7575,0.7587,0.765,0.7562,0.0018,1962-04-04
GE,1,0.7587,0.765,0.765,0.7525,0.0018,1962-04-05
GE,1,0.765,0.76,0.7687,0.7587,0.0018,1962-04-06
GE,1,0.76,0.7587,0.7625,0.7575,0.0018,1962-04-09
GE,1,0.7337,0.7299,0.7374,0.7274,0.0017,1962-04-12
GE,1,0.7487,0.7424,0.7499,0.7362,0.0018,1962-04-16
GE,1,0.7424,0.7387,0.7449,0.7387,0.0018,1962-04-23
GE,2,0.7337,0.7237,0.7374,0.7237,0.0017,1962-04-25
GE,2,0.7111,0.6861,0.7161,0.6761,0.0016,1962-04-30
GE,3,0.6861,0.7024,0.7061,0.6761,0.0017,1962-05-01
GE,1,0.7212,0.7186,0.7237,0.7124,0.0017,1962-05-04
GE,1,0.7111,0.7099,0.7111,0.7049,0.0017,1962-05-08
GE,2,0.7099,0.7086,0.7111,0.7036,0.0017,1962-05-09
GE,2,0.7086,0.7024,0.7136,0.6974,0.0017,1962-05-10
GE,3,0.7024,0.6936,0.7111,0.6911,0.0017,1962-05-11
GE,0,0.7099,0.7099,0.7149,0.7061,0.0017,1962-05-17
GE,1,0.7124,0.7199,0.7199,0.7124,0.0017,1962-05-18
GE,1,0.7199,0.7136,0.7199,0.7136,0.0017,1962-05-21
GE,2,0.6823,0.6736,0.6899,0.6711,0.0016,1962-05-24
GE,2,0.6736,0.6598,0.6736,0.6523,0.0016,1962-05-25
GE,2,0.6598,0.631,0.6598,0.631,0.0015,1962-06-04
GE,1,0.6473,0.651,0.6598,0.6473,0.0016,1962-06-08
GE,1,0.651,0.6498,0.6573,0.6448,0.0016,1962-06-11
GE,2,0.6423,0.6147,0.6423,0.6122,0.0015,1962-06-12
GE,2,0.6147,0.6135,0.6298,0.611,0.0015,1962-06-13
GE,2,0.6122,0.601,0.6122,0.601,0.0014,1962-06-20
GE,3,0.601,0.5809,0.601,0.5809,0.0014,1962-06-21
GE,3,0.5784,0.5559,0.5784,0.5546,0.0013,1962-06-22
GE,4,0.5559,0.5609,0.5659,0.5434,0.0013,1962-06-25
GE,1,0.5559,0.5647,0.5647,0.5521,0.0014,1962-06-27
GE,2,0.5747,0.5884,0.5922,0.5747,0.0014,1962-06-28
GE,2,0.5922,0.596,0.6047,0.5922,0.0014,1962-06-29
GE,1,0.596,0.6298,0.6373,0.5922,0.0015,1962-07-02
GE,1,0.6298,0.6348,0.6398,0.6185,0.0015,1962-07-09
GE,1,0.6373,0.641,0.6435,0.6285,0.0015,1962-07-11
GE,0,0.6435,0.6435,0.6435,0.6348,0.0015,1962-07-16
GE,1,0.641,0.6247,0.641,0.6247,0.0015,1962-07-17
GE,1,0.621,0.616,0.621,0.6122,0.0015,1962-07-18
GE,0,0.6298,0.6373,0.6385,0.6298,0.0015,1962-07-23
GE,1,0.626,0.6385,0.6385,0.626,0.0015,1962-07-26
GE,1,0.6385,0.6373,0.6448,0.6323,0.0015,1962-07-27
GE,2,0.651,0.6648,0.6673,0.651,0.0016,1962-07-31
GE,1,0.6698,0.6586,0.6698,0.6573,0.0016,1962-08-06
GE,1,0.6586,0.6648,0.6673,0.6573,0.0016,1962-08-10
GE,1,0.6761,0.6736,0.6786,0.6711,0.0016,1962-08-15
GE,1,0.6736,0.6761,0.6798,0.6736,0.0016,1962-08-16
GE,1,0.6823,0.6811,0.6924,0.6786,0.0016,1962-08-20
GE,1,0.6836,0.6961,0.6961,0.6836,0.0017,1962-08-22
GE,1,0.6961,0.6936,0.6999,0.6924,0.0017,1962-08-23
GE,1,0.6736,0.6773,0.6823,0.6736,0.0016,1962-08-28
GE,1,0.6773,0.6761,0.6786,0.6711,0.0016,1962-08-29
GE,1,0.6773,0.6786,0.6836,0.6773,0.0016,1962-08-30
GE,1,0.6861,0.6673,0.6873,0.6673,0.0016,1962-09-04
GE,1,0.6673,0.6548,0.6686,0.6523,0.0016,1962-09-05
GE,1,0.6686,0.6773,0.6786,0.6598,0.0016,1962-09-10
GE,1,0.6773,0.6698,0.6798,0.6698,0.0016,1962-09-11
GE,1,0.6773,0.6711,0.6861,0.6698,0.0016,1962-09-13
GE,0,0.6773,0.6823,0.6861,0.6773,0.0016,1962-09-17
GE,1,0.6811,0.6798,0.6823,0.6686,0.0016,1962-09-19
GE,1,0.6798,0.6698,0.6798,0.6648,0.0016,1962-09-20
GE,1,0.6686,0.656,0.6686,0.6548,0.0016,1962-09-21
GE,2,0.6535,0.6485,0.6535,0.6423,0.0016,1962-09-24
GE,1,0.6498,0.636,0.6498,0.6323,0.0015,1962-09-26
GE,1,0.6348,0.6235,0.6348,0.6222,0.0015,1962-09-27
GE,1,0.6235,0.6398,0.6398,0.621,0.0016,1962-09-28
GE,0,0.6373,0.6498,0.6498,0.636,0.0016,1962-10-02
GE,1,0.6636,0.6723,0.6761,0.6636,0.0016,1962-10-05
GE,1,0.6761,0.6786,0.6786,0.6711,0.0016,1962-10-09
GE,1,0.6786,0.6698,0.6811,0.6673,0.0016,1962-10-10
GE,0,0.6623,0.6598,0.6623,0.656,0.0016,1962-10-12
GE,1,0.6736,0.6736,0.6786,0.6736,0.0016,1962-10-16
GE,1,0.6698,0.6673,0.6698,0.6661,0.0016,1962-10-18
GE,2,0.6548,0.6485,0.6548,0.6448,0.0016,1962-10-22
GE,2,0.6661,0.6611,0.6661,0.6523,0.0016,1962-10-25
GE,2,0.6836,0.6961,0.6974,0.6761,0.0017,1962-11-02
GE,2,0.6974,0.6986,0.7024,0.6836,0.0017,1962-11-07
GE,1,0.6986,0.6974,0.7049,0.6936,0.0017,1962-11-08
GE,2,0.7199,0.7249,0.7262,0.7149,0.0018,1962-11-14
GE,1,0.7249,0.7224,0.7249,0.7186,0.0018,1962-11-19
GE,0,0.7299,0.7387,0.7399,0.7274,0.0018,1962-11-21
GE,3,0.7399,0.7537,0.7562,0.7399,0.0018,1962-11-23
GE,2,0.7537,0.7462,0.755,0.7349,0.0018,1962-11-26
GE,1,0.7462,0.7462,0.7487,0.7399,0.0018,1962-11-27
GE,1,0.7462,0.7487,0.7512,0.7462,0.0018,1962-11-28
GE,1,0.7487,0.7499,0.7499,0.7449,0.0018,1962-11-29
GE,2,0.7525,0.7612,0.7662,0.7525,0.0018,1962-12-05
GE,1,0.7575,0.7612,0.7662,0.7537,0.0018,1962-12-07
GE,1,0.7612,0.7575,0.7675,0.7575,0.0018,1962-12-10
GE,2,0.7575,0.7575,0.7612,0.7487,0.0018,1962-12-11
GE,2,0.7575,0.7712,0.7775,0.7562,0.0019,1962-12-12
GE,0,0.7687,0.7712,0.7725,0.7675,0.0019,1962-12-14
GE,0,0.7712,0.7712,0.775,0.7675,0.0019,1962-12-17
GE,1,0.7675,0.7537,0.7675,0.7487,0.0018,1962-12-18
GE,0,0.76,0.76,0.7612,0.7587,0.0019,1962-12-24
GE,1,0.76,0.7675,0.7675,0.76,0.0019,1962-12-26
GE,1,0.7712,0.7712,0.7712,0.7662,0.0019,1962-12-28
GE,1,0.7687,0.765,0.77,0.7575,0.0019,1963-01-02
GE,3,0.765,0.77,0.7725,0.7625,0.0019,1963-01-03
GE,1,0.79,0.7875,0.7913,0.7863,0.0019,1963-01-14
GE,1,0.7875,0.7875,0.7888,0.7825,0.0019,1963-01-15
GE,1,0.7875,0.7812,0.7888,0.78,0.0019,1963-01-16
GE,1,0.7812,0.7838,0.7875,0.7787,0.0019,1963-01-17
