TICKER,Volume,Open,Close,High,Low,"Adj  Close",Date
AAL,0,21.0500,19.3000,21.4000,19.1000,18.1949,2005-09-27
AAL,3,-20.2600,21.0100,21.0500,20.1800,19.8070,2005-09-30
AAL ,0,-99,22.2000,22.3100,21.7500,-99,2005-10-05
AAL,1,22.6000,22.5800,23.0000,22.4000,21.2871,2005-10-06
AAL,0,-22.2500,22.1500,22.6000,21.8000,20.8817,2005-10-07
AAL,0,22.2800,22.2100,22.2900,22.1000,20.9383,2005-10-10
AAL,0,22.2600,21.9800,22.3000,21.8000,20.7215,2005-10-11
AAL,0,-21.9000,21.7600,22.0500,21.6400,20.5141,2005-10-12
AAL,0,21.7000,21.7100,21.8000,21.4000,20.4669,2005-10-13
AAL,0,-21.8500,22.2700,22.4000,21.8500,20.9948,2005-10-14
AAL,0,-22.1500,22.0800,22.2200,21.8500,20.8157,2005-10-17
' AAL',1,-21.3700,21.3800,21.6000,20.8500,20.1558,2005-10-19
AAL,0,21.0200,21.9600,22.4200,21.0100,20.7026,2005-10-21
AAL,0,-22.0100,22.3100,22.3600,21.9500,21.0326,2005-10-24
AAL,0,-22.0000,22.3200,22.4500,21.9900,21.0420,2005-10-26
AAL,0,22.2600,22.5600,22.5600,22.2000,21.2682,2005-10-27
AAL,1,-22.5500,23.9000,23.9000,22.3700,22.5315,2005-10-28
AAL,0,24.0000,24.6800,25.3500,24.0000,23.2669,2005-10-31
AAL,2,25.2300,27.5500,28.1000,25.2000,25.9725,2005-11-02
AAL,0,27.6000,27.8700,28.1000,27.6000,26.2742,2005-11-03
AAL,0,29.0000,28.9300,29.4300,28.3800,27.2735,2005-11-07
AAL,1,29.4300,31.3000,31.3000,29.4300,29.5078,2005-11-09
AAL,1,31.1500,32.8000,33.9600,31.1500,30.9219,2005-11-10
AAL,1,33.0500,33.3500,33.9500,33.0000,31.4404,2005-11-11
AAL,0,33.7500,33.8800,33.8800,32.8400,31.9401,2005-11-15
AAL,0,33.5100,33.6000,33.8500,33.4000,31.6761,2005-11-16
AAL,1,33.4000,34.3200,34.5500,33.2300,32.3549,2005-11-17
AAL,0,-34.3500,33.0500,34.3500,32.8600,31.1576,2005-11-18
AAL,0,-32.7500,31.9900,32.7500,31.2600,30.1583,2005-11-21
AAL,0,32.2000,33.0400,33.6800,32.1600,31.1482,2005-11-23
AAL ,0,-33.0100,32.8500,33.2000,32.7200,30.9691,2005-11-25
AAL,0,33.0500,33.4100,33.8500,33.0000,31.4970,2005-11-28
AAL,0,34.0000,34.2800,34.9400,34.0000,32.3172,2005-12-01
' AAL',0,-99,34.2800,34.6500,34.2500,-99,2005-12-02
AAL,1,-32.0800,32.3500,32.6400,31.3800,30.4977,2005-12-05
